obf_true,ai_name,confidence,apply,role,domain,opcode,rationale
aCC,S2CMessage206,medium,1,Message,,206,refs=[InputOnlyProxyMessage] strs=[]
nj,S2CMessage2070,medium,1,Message,,2070,refs=[InputOnlyProxyMessage] strs=[]
aDE,S2CMessage22000,medium,1,Message,,22000,refs=[InputOnlyProxyMessage] strs=[]
lS,S2CMessage22002,medium,1,Message,,22002,refs=[InputOnlyProxyMessage] strs=[]
axA,S2CMessage22092,medium,1,Message,,22092,refs=[InputOnlyProxyMessage] strs=[]
lA,S2CMessage22094,medium,1,Message,,22094,refs=[InputOnlyProxyMessage] strs=[]
WV,S2CMessage2261,medium,1,Message,,2261,refs=[InputOnlyProxyMessage] strs=[]
wF,S2CMessage23002,medium,1,Message,,23002,refs=[InputOnlyProxyMessage] strs=[]
aMH,S2CMessage23004,medium,1,Message,,23004,refs=[InputOnlyProxyMessage] strs=[]
azl,S2CMessage23006,medium,1,Message,,23006,refs=[InputOnlyProxyMessage] strs=[]
KL,S2CMessage23008,medium,1,Message,,23008,refs=[InputOnlyProxyMessage] strs=[]
BX,S2CMessage2307,medium,1,Message,,2307,refs=[InputOnlyProxyMessage] strs=[]
cJ,S2CMessage2309,medium,1,Message,,2309,refs=[InputOnlyProxyMessage] strs=[]
aDA,S2CMessage23102,medium,1,Message,,23102,refs=[InputOnlyProxyMessage] strs=[]
aLi,S2CMessage23104,medium,1,Message,,23104,refs=[InputOnlyProxyMessage] strs=[]
adS,S2CMessage23106,medium,1,Message,,23106,refs=[InputOnlyProxyMessage] strs=[]
M,S2CMessage23108,medium,1,Message,,23108,refs=[InputOnlyProxyMessage] strs=[]
tB,S2CMessage23110,medium,1,Message,,23110,refs=[InputOnlyProxyMessage] strs=[]
aku,S2CMessage23112,medium,1,Message,,23112,refs=[InputOnlyProxyMessage] strs=[]
uF,S2CMessage2401,medium,1,Message,,2401,refs=[InputOnlyProxyMessage] strs=[]
HJ,S2CMessage2411,medium,1,Message,,2411,refs=[InputOnlyProxyMessage] strs=[]
az,S2CMessage25000,medium,1,Message,,25000,refs=[InputOnlyProxyMessage] strs=[]
Kq,S2CMessage2601,medium,1,Message,,2601,refs=[InputOnlyProxyMessage] strs=[]
wU,S2CMessage26300,medium,1,Message,,26300,refs=[InputOnlyProxyMessage] strs=[]
pU,S2CMessage26302,medium,1,Message,,26302,refs=[InputOnlyProxyMessage] strs=[]
gZ,S2CMessage26304,medium,1,Message,,26304,refs=[InputOnlyProxyMessage] strs=[]
Nx,S2CMessage26310,medium,1,Message,,26310,refs=[InputOnlyProxyMessage] strs=[]
axr,S2CMessage26312,medium,1,Message,,26312,refs=[InputOnlyProxyMessage] strs=[]
ahV,S2CMessage26314,medium,1,Message,,26314,refs=[InputOnlyProxyMessage] strs=[]
azb,S2CMessage26332,medium,1,Message,,26332,refs=[InputOnlyProxyMessage] strs=[]
uZ,S2CMessage26333,medium,1,Message,,26333,refs=[InputOnlyProxyMessage] strs=[]
azD,S2CMessage27501,medium,1,Message,,27501,refs=[InputOnlyProxyMessage] strs=[]
IJ,S2CMessage27503,medium,1,Message,,27503,refs=[InputOnlyProxyMessage] strs=[]
aKa,S2CMessage27505,medium,1,Message,,27505,refs=[InputOnlyProxyMessage] strs=[]
UJ,S2CMessage27507,medium,1,Message,,27507,refs=[InputOnlyProxyMessage] strs=[]
Jw,S2CMessage27509,medium,1,Message,,27509,refs=[InputOnlyProxyMessage] strs=[]
anc,S2CMessage27511,medium,1,Message,,27511,refs=[InputOnlyProxyMessage] strs=[]
Xn,S2CMessage27513,medium,1,Message,,27513,refs=[InputOnlyProxyMessage] strs=[]
aMU,S2CMessage27515,medium,1,Message,,27515,refs=[InputOnlyProxyMessage] strs=[]
jg,S2CMessage27526,medium,1,Message,,27526,refs=[InputOnlyProxyMessage] strs=[]
EQ,S2CMessage27528,medium,1,Message,,27528,refs=[InputOnlyProxyMessage] strs=[]
amk,S2CMessage27552,medium,1,Message,,27552,refs=[InputOnlyProxyMessage] strs=[]
Ng,S2CMessage28602,medium,1,Message,,28602,refs=[InputOnlyProxyMessage] strs=[UTF-8 | NAME CENSORED | nameCensored]
auE,S2CMessage28604,medium,1,Message,,28604,refs=[InputOnlyProxyMessage] strs=[]
aik,S2CMessage28606,medium,1,Message,,28606,refs=[InputOnlyProxyMessage] strs=[]
dy,S2CMessage28608,medium,1,Message,,28608,refs=[InputOnlyProxyMessage] strs=[]
De,S2CMessage28610,medium,1,Message,,28610,refs=[InputOnlyProxyMessage] strs=[]
DR,S2CMessage28612,medium,1,Message,,28612,refs=[InputOnlyProxyMessage] strs=[]
azJ,S2CMessage28614,medium,1,Message,,28614,refs=[InputOnlyProxyMessage] strs=[]
kw,S2CMessage28616,medium,1,Message,,28616,refs=[InputOnlyProxyMessage] strs=[]
aHd,S2CMessage28618,medium,1,Message,,28618,refs=[InputOnlyProxyMessage] strs=[]
Yq,S2CMessage28620,medium,1,Message,,28620,refs=[InputOnlyProxyMessage] strs=[Mauvaise utilisation d'un message de type | : Status \u00e9gal \u00e0 | UTF-8]
UW,S2CMessage28622,medium,1,Message,,28622,refs=[InputOnlyProxyMessage] strs=[]
DG,S2CMessage28630,medium,1,Message,,28630,refs=[InputOnlyProxyMessage] strs=[]
aCN,S2CMessage28634,medium,1,Message,,28634,refs=[InputOnlyProxyMessage] strs=[]
aIG,S2CMessage28636,medium,1,Message,,28636,refs=[InputOnlyProxyMessage] strs=[]
aaJ,S2CMessage28644,medium,1,Message,,28644,refs=[InputOnlyProxyMessage] strs=[]
aNq,S2CMessage28646,medium,1,Message,,28646,refs=[InputOnlyProxyMessage] strs=[]
df,S2CMessage28648,medium,1,Message,,28648,refs=[InputOnlyProxyMessage] strs=[]
IL,S2CMessage28650,medium,1,Message,,28650,refs=[InputOnlyProxyMessage] strs=[UTF-8]
ayy,S2CMessage3168,medium,1,Message,,3168,refs=[InputOnlyProxyMessage] strs=[]
aIK,S2CMessage3170,medium,1,Message,,3170,refs=[InputOnlyProxyMessage] strs=[]
aNO,S2CMessage3198,medium,1,Message,,3198,refs=[InputOnlyProxyMessage] strs=[]
tG,S2CMessage4000,medium,1,Message,,4000,refs=[InputOnlyProxyMessage] strs=[]
tc,S2CMessage4001,medium,1,Message,,4001,refs=[InputOnlyProxyMessage] strs=[]
yU,S2CMessage4516,medium,1,Message,,4516,refs=[InputOnlyProxyMessage] strs=[]
afV,S2CMessage4601,medium,1,Message,,4601,refs=[InputOnlyProxyMessage] strs=[]
azT,S2CMessage4700,medium,1,Message,,4700,refs=[InputOnlyProxyMessage] strs=[]
yd,S2CMessage4800,medium,1,Message,,4800,refs=[InputOnlyProxyMessage] strs=[]
xK,S2CMessage4900,medium,1,Message,,4900,refs=[FightServerToClientMessage] strs=[]
xY,S2CMessage4901,medium,1,Message,,4901,refs=[FightServerToClientMessage] strs=[]
aIZ,S2CMessage4902,medium,1,Message,,4902,refs=[FightServerToClientMessage] strs=[]
auF,S2CMessage502,medium,1,Message,,502,refs=[InputOnlyProxyMessage] strs=[]
mD,S2CMessage504,medium,1,Message,,504,refs=[InputOnlyProxyMessage] strs=[]
arl,S2CMessage510,medium,1,Message,,510,refs=[InputOnlyProxyMessage] strs=[]
Or,S2CMessage5113,medium,1,Message,,5113,refs=[InputOnlyProxyMessage] strs=[]
aqX,S2CMessage5114,medium,1,Message,,5114,refs=[InputOnlyProxyMessage] strs=[]
dL,S2CMessage5116,medium,1,Message,,5116,refs=[InputOnlyProxyMessage] strs=[]
NN,S2CMessage5401,medium,1,Message,,5401,refs=[InputOnlyProxyMessage] strs=[]
mJ,S2CMessage5403,medium,1,Message,,5403,refs=[InputOnlyProxyMessage] strs=[]
aGr,S2CMessage5491,medium,1,Message,,5491,refs=[InputOnlyProxyMessage] strs=[]
H,S2CMessage556,medium,1,Message,,556,refs=[InputOnlyProxyMessage] strs=[]
ahU,S2CMessage558,medium,1,Message,,558,refs=[InputOnlyProxyMessage] strs=[]
rY,S2CMessage560,medium,1,Message,,560,refs=[InputOnlyProxyMessage] strs=[]
asu,S2CMessage6,medium,1,Message,,6,refs=[InputOnlyProxyMessage] strs=[]
aoi,S2CMessage6014,medium,1,Message,,6014,refs=[InputOnlyProxyMessage] strs=[]
DY,S2CMessage6025,medium,1,Message,,6025,refs=[InputOnlyProxyMessage] strs=[]
Lk,S2CMessage6027,medium,1,Message,,6027,refs=[InputOnlyProxyMessage] strs=[]
ahh,S2CMessage6028,medium,1,Message,,6028,refs=[InputOnlyProxyMessage] strs=[]
OJ,S2CMessage6029,medium,1,Message,,6029,refs=[InputOnlyProxyMessage] strs=[]
gD,S2CMessage6032,medium,1,Message,,6032,refs=[InputOnlyProxyMessage] strs=[]
RQ,S2CMessage8121,medium,1,Message,,8121,refs=[InputOnlyProxyMessage] strs=[]
ZQ,S2CMessage8122,medium,1,Message,,8122,refs=[InputOnlyProxyMessage] strs=[]
WC,S2CMessage8250,medium,1,Message,,8250,refs=[InputOnlyProxyMessage] strs=[]
aBZ,S2CMessage8400,medium,1,Message,,8400,refs=[InputOnlyProxyMessage] strs=[]
avT,S2CMessage9,medium,1,Message,,9,refs=[InputOnlyProxyMessage] strs=[Id fixe pour ce message. Ne peut \u00eatre chang\u00e9.]
QY,AchievementScreen,low,0,Screen,Achievement,,refs=[] strs=[achievementsList | achievementTypesList | achievementsTotalPoints]
li,AchievementScreen,low,0,Screen,Achievement,,refs=[] strs=[isSelected | name | description]
aiI,AchievementScreen,low,0,Screen,Achievement,,refs=[] strs=[updateAchievement | achievementConditionId]
aEz,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[coach | name | sex]
aJF,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[Directed rectangle | Rectangle directionnel | Distance maximale \u00e0 la ligne centrale]
aaC,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[createActor | mobileId | spriteName]
abv,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[breedSpells | weaponCards | petCards]
apb,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[setMobileLookAt | mobileId | worldX]
uj,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[Zoom sur un point pendant un certain temps puis revient \u00e0 sa position d'origine | zoomOn | zoomFactor]
aga,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[setMobileDirection | mobileId | directionIndex]
ic,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[getMobileDirection | mobileId | directionIndex]
ep,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[direction ou position null : update partLocalisator first | direction null : update partLocalisator first]
aBj,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[XML parser factory has not been configured correctly: | Cannot create parser for the given configuration: | Document builder factory has not been configured correctly:]
aMp,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[Aucune factory d'enregistr\u00e9e pour un \u00e9l\u00e9ment interactif de type | Aucune d\u00e9finition trouv\u00e9e pour l'instance d'\u00e9lement interactif | Exception lors de Interac
aMw,ActorScreen,low,0,Screen,Actor,,refs=[] strs=[setMoveSpeedFactor | speedFactor | pas de camera associ\u00e9e \u00e0 CameraFunctionsLibrary]
aug,CalendarScreen,low,0,Screen,Calendar,,refs=[UiEventBus] strs=[dofusarena.calendar | itemOver | calendar.fullEventList]
avF,CalendarScreen,low,0,Screen,Calendar,,refs=[] strs=[events | day | month]
rD,CalendarScreen,low,0,Screen,Calendar,,refs=[] strs=[Argument 0 for @NotNull parameter of com/ankamagames/baseImpl/common/clientAndServer/game/time/calendar/GameDate.set must not be null | Argument 0 for @NotNull parameter of com/ankamagam
DE,CalendarScreen,low,0,Screen,Calendar,,refs=[] strs=[calendar | currentMonth | calendar.eventFilter]
aZ,CalendarScreen,low,0,Screen,Calendar,,refs=[] strs=[Argument 0 for @NotNull parameter of com/ankamagames/baseImpl/common/clientAndServer/game/time/calendar/util/GameDateFormatter.parse must not be null | Argument 1 for @NotNull parameter 
pT,CalendarScreen,low,0,Screen,Calendar,,refs=[] strs=[Argument 0 for @NotNull parameter of com/ankamagames/baseImpl/common/clientAndServer/game/time/calendar/GameInterval.greaterThan must not be null | Argument 0 for @NotNull parameter of c
JN,ChatScreen,low,0,Screen,Chat,,refs=[NetworkMessage] strs=[SqlRequestChannel | Exception during autocommit | Interrupted]
DU,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[contentLoader.chat | vicinityPipe | chat.pipeName.vicinity]
Jd,ChatScreen,low,0,Screen,Chat,,refs=[UiEventBus] strs=[dofusarena.chat | /whisper | /reply]
ML,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[chat.dialogView | input | history]
TY,ChatScreen,low,0,Screen,Chat,,refs=[AssetBinaryReader AssetBinaryWriter] strs=[Argument 0 for @NotNull parameter of com/ankamagames/baseImpl/graphics/alea/environment/DynamicElementDef.load must not be null | Argument 0 for @NotNu
ait,ChatScreen,low,0,Screen,Chat,,"refs=[] strs=[La connexion a \u00e9t\u00e9 ferm\u00e9e, ou la fermeture est d\u00e9j\u00e0 programm\u00e9e (aboutToClose= | , cleanClose= | Tentative de lecture sur une Connection sans SocketChannel.]"
akZ,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[language | resolution | musicVolume]
gN,ChatScreen,low,0,Screen,Chat,,"refs=[NetworkMessage] strs=[Erreur lors d'un checkOut sur un message de type StatisticsReportSaveRequest : | INSERT INTO tbl_dynamic_statistics(statistics_model_id,statistics_report_id,statistics_repo"
aBL,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[viewName | chat.selectedPipe | chat.pipeName.vicinity]
aHI,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[vicinityPipe | privatePipe | teammatePipe]
aOn,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[minutes | hours | days]
arE,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[\\[(#name)\\] | Impossible de formatter l'expression : | Constante trop grande pour le test du sex de l'interlocuteur :]
art,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[hideObstacle | !/common/alphaMask | showMap]
ZX,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[friend | ignore | party]
mc,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[friends.list | ignore.list | userManager]
Lt,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[chat.selectedView | input | chatDialog]
aHV,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[chat.viewList | chatViewManager]
SA,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[chat.selectedPipe | chat.pipeName.teammate]
SC,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[chat.selectedPipe | chat.pipeName.guild]
SD,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[chat.selectedPipe | chat.pipeName.trade]
Sy,ChatScreen,low,0,Screen,Chat,,refs=[] strs=[chat.selectedPipe | chat.pipeName.vicinity]
sJ,CoachScreen,low,0,Screen,Coach,,refs=[CoachEquipmentUpdateRequestMessage CoachInventoryUpdateRequestMessage NetworkMessage] strs=[cardInventory | cardSets | cardPets]
RS,CoachScreen,low,0,Screen,Coach,,refs=[CoachCreationMessage NetworkMessage UiEventBus] strs=[actorDescriptorLibrary | skinColor | hairColor]
add,CoachScreen,low,0,Screen,Coach,,refs=[NetworkMessage UiEventBus] strs=[coachInventory.undestructibleCard | fusionTrade | quantity]
aBC,CoachScreen,low,0,Screen,Coach,,refs=[UiEventBus] strs=[dofusarena.coachManagement | localCoach | name]
ij,CoachScreen,low,0,Screen,Coach,,refs=[] strs=[minimum | maximum | name]
ans,CoachScreen,low,0,Screen,Coach,,refs=[CoachActorMovementRequestMessage NetworkMessage] strs=[Impossible de changer l'id d'une instance : Id = | fix\u00e9 dans le constructeur.]
cF,CoachScreen,low,0,Screen,Coach,,refs=[] strs=[Impossible d'ajouter une carte : ReferenceCoachCard \u00e9gal \u00e0 null. | Impossible d'ajouter la referenceCoachCard d'id | : Id de type \u00e9gal \u00e0]
KE,CoachScreen,low,0,Screen,Coach,,refs=[UiEventBus] strs=[dofusarena.demonAffiliation | localCoachCardsContainer | coachInventory.undestructibleCard]
avp,CoachScreen,low,0,Screen,Coach,,refs=[NetworkMessage] strs=[coachManagement.selectedCard | coachInventory.undestructibleCard | question.deleteCoachEquipment]
Md,CoachScreen,low,0,Screen,Coach,,refs=[NetworkMessage] strs=[cantDestroyCoachDuringFight | questionDestroyCoach]
AI,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Bonus ou malus d'XP en % (conso : rien) | Bonus ou malus d'XP (conso : idem) | Bonus ou malus d'XP en % pour l'adversaire (conso : rien)]
Jb,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[AbstractFighterCard is static and can't be unserialized. Need to be get from a provider. | FIghterCard can't be stacked | FIGHTER_CARD_USE]
MV,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Erreur d\u00e9tect\u00e9 dans le match d'id | : On passe en mode observation sans \u00eatre en mode placement ! | Dans le match d'id]
Te,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[name | level | fighters]
XZ,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[allFighters | fightersOnBench | graveyardFighters]
Xb,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[On essaye de release un RunningEffect encore r\u00e9f\u00e9renc\u00e9 refCount= | Double release sur un | hashCode :]
ajR,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Modifie le budget | Modifie le nombre minimum de combattant | Modifie le nombre maximum de combattant]
avE,CombatScreen,low,0,Screen,Combat,,"refs=[] strs=[Exeption lev\u00e9e | Il n'y a aucune source \u00e0 lib\u00e9rer, mais on n'arrive pas \u00e0 r\u00e9server de voix | Impossible d'assigner suffisament de voix \u00e0 cette Source.]"
ayr,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Spell | Bonus | Malus]
azg,CombatScreen,low,0,Screen,Combat,,refs=[NetworkMessage] strs=[fighters | currentTableTurn | nextTableTurn]
or,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Avoir une carte dans son grimoire | Nombre de combats gagn\u00e9s en 20 \u00e0 25 minutes | Nombre de combats perdus en 20 \u00e0 25 minutes]
xj,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[fighterColor | name | set]
zK,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[name | selectedFighters | fighters]
Ht,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Tentative de d\u00e9s\u00e9rialisation d'un objet avec une version non prise en charge | effect_id | effect_action_id]
aOj,CombatScreen,low,0,Screen,Combat,,"refs=[] strs=[The DirectBufferPoolManager is already initialised and can't be initialised twice | bufferCounts can't be less than zero | No group created, all buffer counts are null]"
acw,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Erreur lors d'un newInstance sur un | Impossible de lancer l'effet | : EffectUser \u00e9gal \u00e0 null.]
adu,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Le client ne doit pas d\u00e9finir l'id des effectUsers | Impossible d'ajouter le controller du fighter | dans le match d'id]
ahP,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[canSummon | canCastWhenCarrying | cantCastWhenCarrying]
asf,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[cast.effectDescription | cast.criticalEffectDescription | cast.bonusDescription]
iL,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Impossible de s\u00e9rialiser le match d'id | : Controller s\u00e9rialis\u00e9 \u00e9gal \u00e0 null. | : Equipe s\u00e9rialis\u00e9e \u00e9gale \u00e0 null.]
ix,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[onSpellUsed | mobileId | checkCell]
mU,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[config.properties | coachANMEquipmentPath | fighterANMEquipmentPath]
nI,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Impossible d'ajouter le fighter | dans le match d'id | : Timeline \u00e9gal \u00e0 null.]
zh,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[SNO: This exception should have been caught and processed | Janino.TargetVersion | Ljava/lang/StringBuilder;]
QK,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Poss\u00e9der une position | Poss\u00e9der un nombre de points de victoire | Tuer des combattants d'une classe]
Yg,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[ne peut arriver normalement | On ajoute un gars \u00e0 une team alors qu'il est dans une autre ? | On essaye de virer un gars d'une team qui ne le contient pas : nombre de fighters :]
aGT,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[On tente de retirer un fighter absent de la timeline ( | [Timeline] | [Timeline] Tentative d'attacher un]
vw,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[description | quantity | timeRemaining]
Et,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Erreur \u00e0 la d\u00e9serialisation d'un fighter | Erreur lors d'un checkOut sur un FighterInformation : | impossible de release l'objet]
RU,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Les \u00e9l\u00e9ments interactifs client ne peuvent pas \u00eatre s\u00e9rialis\u00e9s | D\u00e9codage des donn\u00e9es sp\u00e9cifiques (len= | Impossible de d\u00e9s\u00e9rialiser un 
fv,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[AbstractSpell can't be unserialized. Need to be get from AbstractReferenceCoachCardManager | Spell can't be stacked | Unable to copy AbstractSpell]
lC,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[AnimMort | fight.die | onActionFinished DieAction]
HY,CombatScreen,low,0,Screen,Combat,,"refs=[] strs=[Erreur lors d'un checkOut sur un ArenaRunningEffect : | Dans le match | , nouvelle invocation]"
awW,CombatScreen,low,0,Screen,Combat,,"refs=[] strs=[Erreur lors d'un checkOut sur un SummonDouble : | Dans le match | , nouvelle invocation]"
sZ,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[GlEffect not loaded : Cg library not loaded | GlEffect not loaded : Cg library not found : | Unable to read file]
XC,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Buffer type not supported | Buffer type not supported in slice | Buffer type not supported in createPage]
ZT,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[null | On veut pousser dans la timeline le arenaRunningEffect | de fa\u00e7on instantan\u00e9e : EffectId =]
iY,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Impossible de s\u00e9rialiser le match d'id | : EffectUser \u00e9gal \u00e0 null. | Impossible de d\u00e9s\u00e9rialiser le match d'id]
Cc,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[SpellZoneEffect | SpellRange | SpellRangeWithConstraint]
VM,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[FighterCardUseZoneEffect | FighterCardUseRange | FighterCardUseRangeWithConstraint]
ayj,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[CloseCombatZoneEffect | CloseCombatRange | CloseCombatRangeWithContraint]
dS,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Erreur lors d'un checkOut sur un ArenaRunningEffect : | Pas de contexte associ\u00e9 \u00e0 un SetEffectArea. | Pas d'effectUserInformationProvider associ\u00e9 \u00e0 un SetEffectArea.]
JR,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[return; | return]
ME,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Erreur lors d'un checkOut sur un HPDebuff : | Nombre de param\u00e8tres incorrect dans un HPDebuff :]
TA,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[pas assez de donn\u00e9es pour completer la cr\u00e9ation d'un Fighter | Erreur lors de l'ajout d'un sort \u00e0 un SummonedFighter :]
Zj,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Erreur lors d'un checkOut sur un CharacDebuff : | Nombre de param\u00e8tres incorrect dans un CharacDebuff :]
aix,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[@NotNull method com/ankamagames/framework/kernel/core/resource/ResourceFactoryDescriptor.getResourceFactory must not return null | @NotNull method com/ankamagames/framework/kernel/core/r
alY,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[fight.spellCast | Impossible de lancer un sort car le caster n'existe pas :]
ame,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Erreur lors d'un checkOut sur un CharacBuff : | Nombre de param\u00e8tres incorrect dans un CharacBuff :]
tW,CombatScreen,low,0,Screen,Combat,,refs=[] strs=[Erreur lors d'un checkOut sur un CharacBuff : | Nombre de param\u00e8tres incorrect dans un CharacBuff :]
adc,ConnectionScreen,low,0,Screen,Connection,,refs=[] strs=[rememberLastLogin | lastLogin | lastServer]
CG,ExchangeScreen,low,0,Screen,Exchange,,refs=[] strs=[exchangeId | localCardExchange | remoteCardExchange]
TQ,ExchangeScreen,low,0,Screen,Exchange,,refs=[UiEventBus] strs=[dofusarena.cardMaster | cardMasterTrade | cardMasterCardsPrice]
aJd,ExchangeScreen,low,0,Screen,Exchange,,refs=[] strs=[exchangeId | localCardExchange | cardMasterCardExchange]
arB,ExchangeScreen,low,0,Screen,Exchange,,refs=[NetworkMessage] strs=[demonAffiliationTrade | coachInventory.undestructibleCard | localCardExchange]
ku,ExchangeScreen,low,0,Screen,Exchange,,refs=[NetworkMessage] strs=[cardMasterTrade | coachInventory.undestructibleCard | localCardExchange]
PS,ExchangeScreen,low,0,Screen,Exchange,,refs=[] strs=[exchangeId | localCardExchange | localCardCount]
nk,ExchangeScreen,low,0,Screen,Exchange,,refs=[] strs=[First user of an ItemExchanger can't be null | Second user of an ItemExchanger can't be null | Only an Initializing exchanger can be started. Current State:]
CA,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[name | privileges | canPromote]
aiA,GuildScreen,low,0,Screen,Guild,,refs=[UiEventBus] strs=[dofusarena.guild | guildCreationName | guildCreationDialog]
KI,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[guild.name | guild.members | guild.canManage]
uK,GuildScreen,low,0,Screen,Guild,,refs=[UiEventBus] strs=[dofusarena.social | guild | guild.notEnoughGuildMembersToBeActive]
gp,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[guild | guild.members | guildCoachStatsDialog]
WX,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[updateGuildRank | guildId | blou]
aPr,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[addGuildMember | guildId | memberId]
asW,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[updateGuild | guildId | guildName]
ayU,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[updateGuildMember | guildId | memberId]
db,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[createGuildRank | guildId | blou]
ot,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[removeGuildMember | guildId | memberId]
Ad,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[guildChangeIcon | guildId]
aAi,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[destroyGuild | guildId]
aeP,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[createGuild | guildName]
akr,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[getGuildMembers | guildId]
avr,GuildScreen,low,0,Screen,Guild,,refs=[] strs=[deleteGuildRank | guildId]
atu,LadderScreen,low,0,Screen,Ladder,,refs=[] strs=[position | rating | coachName]
awj,LadderScreen,low,0,Screen,Ladder,,refs=[] strs=[position | guildName | quarterlyReputationPoints]
axb,LadderScreen,low,0,Screen,Ladder,,refs=[] strs=[position | name | bossName]
ayB,LadderScreen,low,0,Screen,Ladder,,refs=[] strs=[position | name | points]
ec,LadderScreen,low,0,Screen,Ladder,,refs=[] strs=[position | demonName | quarterlyReputationPoints]
axh,LadderScreen,low,0,Screen,Ladder,,"refs=[NetworkMessage] strs=[Erreur lors d'un checkOut sur un message de type StatisticsReportLoadAllForLadderRequest : | SELECT * FROM tbl_dynamic_statistics, tbl_dynamic_stats_ladder where statistics"
